date,owner,code,qty,price,amt,remark
2020-11-11,fang,HK01810,400,25.1,8830,
2020-11-12,fang,HK01810,800,23.5,16213.6,
2020-11-13,fang,HK01810,-1200,21.65,-22874.4,sell off
2020-11-17,fang,HK01810,800,24,16609.6,
2020-11-17,fang,HK01810,200,23.3,4101,
2020-11-19,fang,HK01810,200,23.9,4205.6,
2020-11-19,shi,HK01810,400,24,8445.2,
2020-11-25,fang,HK01810,-1200,25.9,-27350.4,to jia
2020-11-25,jia,HK01810,1200,25.9,27350.4,ref fang
2020-11-27,fang,HK01810,600,25.1,13252.8,
2020-11-27,fang,HK01810,400,25,8801.2,
2020-11-27,fang,HK01810,400,24.95,8784.4,
2020-11-27,fang,HK01810,200,24.9,4383.6,
2020-11-27,fang,HK01810,200,24.95,4392.2,
2020-12-03,fang,HK01810,400,25.25,8885.2,
2020-12-03,fang,HK01810,200,25.05,4408.8,
2020-12-03,fang,HK01810,200,25.1,4417.2,
2020-12-07,fang,HK01810,400,24,8439.6,
2020-12-07,fang,HK01810,400,24,8456.4,
2020-12-07,fang,HK01810,400,24,8439.6,
2020-12-07,fang,HK01810,1000,24,21099,
2020-12-08,fang,HK01810,-800,25.2,-17740.8,to wen
2020-12-08,wen,HK01810,800,25.2,17740.8,ref fang
2020-12-10,fang,HK01810,-400,25.35,-8923.2,to tang
2020-12-10,tang,HK01810,400,25.35,8923.2,ref fang
2020-12-14,shi,HK01810,-400,29.20,-10278.4,to fang
2020-12-14,fang,HK01810,400,29.20,10278.4,ref shi